asin,predicted_tags
B088QSDB7S,"['board', 'cardgame', 'strategic']"
B014Q1XX9S,"['cardgame', 'humor', 'party']"
B0D763WZS4,"['cardgame', 'kid-friendly', 'strategic']"
B0BC39XXTC,"['board', 'cardgame', 'strategic']"
1568824637,"['board', 'cardgame', 'strategic']"
B09DQ3RTJ7,"['cardgame', 'humor', 'party']"
B08WRN3124,"['cardgame', 'party', 'strategic']"
B0BZJMGWZV,"['cardgame', 'sci-fi', 'strategic']"
B0CMJX7ZQZ,"['cardgame', 'sci-fi', 'strategic']"
B0CMJWS46D,"['cardgame', 'party', 'strategic']"
B07CN6XBKJ,"['cardgame', 'kid-friendly', 'strategic']"
B007MHIYFM,"['cardgame', 'kid-friendly', 'strategic']"
B0C3KF8HK8,"['board', 'cardgame', 'kid-friendly']"
B0CBL6GSL7,"['cardgame', 'kid-friendly', 'strategic']"
B0BZL5LZ57,"['cardgame', 'party', 'strategic']"
B09CDSJMP5,"['cardgame', 'party', 'strategic']"
B074YN5CKM,"['board', 'cardgame', 'strategic']"
B09D4QRJ8Y,"['board', 'kid-friendly', 'strategic']"
B09D4QRJ8Y,"['board', 'kid-friendly', 'strategic']"
B00V82MG2O,"['board', 'cardgame', 'kid-friendly']"
B00JR3HUEU,"['board', 'kid-friendly', 'strategic']"
B01ECIKH8A,"['board', 'cardgame', 'strategic']"
B00B28GVLG,"['dice', 'kid-friendly', 'strategic']"
B0BDHR1TXT,"['board', 'cardgame', 'strategic']"
B0CS79L2YH,"['board', 'cardgame', 'kid-friendly']"
B0C18X7L4W,"['board', 'cardgame', 'miniatures']"
B084BYTQ57,"['board', 'cardgame', 'strategic']"
B0BP2H9WDH,"['board', 'cardgame', 'strategic']"
B07T446163,"['cardgame', 'humor', 'party']"
B0D9HRZNCR,"['cardgame', 'humor', 'party']"
B072J234ZF,"['board', 'cardgame', 'party']"
B0CP9ZMD5P,"['board', 'cardgame', 'strategic']"
B0CJGWSLT7,"['board', 'kid-friendly', 'strategic']"
1589944968,"['board', 'cardgame', 'strategic']"
B00GDI4HX4,"['board', 'cardgame', 'strategic']"
B075VFBV76,"['board', 'cardgame', 'strategic']"
1913569977,"['board', 'cardgame', 'strategic']"
1913569705,"['board', 'cardgame', 'strategic']"
B0DXTTJG5X,"['cardgame', 'humor', 'party']"
1950568547,"['cardgame', 'miniatures', 'rpg']"
B0CDGMQMRT,"['cardgame', 'party', 'strategic']"
B0D9JR5MF5,"['cardgame', 'cute', 'strategic']"
B0BDKL9BXJ,"['cardgame', 'kid-friendly', 'strategic']"
786966831,"['board', 'cardgame', 'rpg']"
B00BCP08NQ,"['board', 'cardgame', 'strategic']"
B0C8BVQXYB,"['cardgame', 'humor', 'party']"
B0BHZWQFDP,"['board', 'cardgame', 'strategic']"
B0CPLC64H6,"['cardgame', 'miniatures', 'rpg']"
B078KYR97B,"['board', 'cardgame', 'strategic']"
B0BYPCJ43G,"['board', 'miniatures', 'strategic']"
B0CC8BCS93,"['board', 'cardgame', 'kid-friendly']"
B0B6P5BDGF,"['board', 'cardgame', 'kid-friendly']"
B0CWQKBG6P,"['cardgame', 'humor', 'party']"
B0C9QFN2MQ,"['cardgame', 'kid-friendly', 'strategic']"
B0CYGJV8V8,"['cardgame', 'humor', 'party']"
B07TWTM34P,"['board', 'cardgame', 'rpg']"
B07PV9ZKG3,"['cardgame', 'humor', 'party']"
B087CBJ465,"['cardgame', 'party', 'strategic']"
B0B8L1CGDR,"['cardgame', 'kid-friendly', 'strategic']"
B078XNZL4X,"['board', 'cardgame', 'strategic']"
B0CKS1MNC3,"['cardgame', 'humor', 'party']"
B0DNMN6VXJ,"['cardgame', 'kid-friendly', 'strategic']"
B0CS7DRQXJ,"['board', 'cardgame', 'party']"
B0CJMQBDXP,"['cardgame', 'kid-friendly', 'strategic']"
B086TYV3VD,"['cardgame', 'party', 'strategic']"
B0BQ5PFMF3,"['cardgame', 'kid-friendly', 'party']"
B0CRHYGTXY,"['cardgame', 'party', 'strategic']"
B0DT9PV8PL,"['board', 'strategic', 'tile-placement']"
B0DT9PV8PL,"['board', 'strategic', 'tile-placement']"
1733376607,"['cardgame', 'humor', 'party']"
B083YL5VCY,"['board', 'kid-friendly', 'rpg']"
B09V84NV18,"['board', 'miniatures', 'rpg']"
B07GW2195F,"['cardgame', 'rpg', 'strategic']"
B07MQRF528,"['cardgame', 'rpg', 'strategic']"
B09V84JC4Q,"['miniatures', 'rpg', 'strategic']"
B0BQJZD3W8,"['board', 'rpg', 'strategic']"
B000BBU0KS,"['board', 'cardgame', 'strategic']"
B0CWS8TPJP,"['board', 'rpg', 'strategic']"
B09H19BLPZ,"['cardgame', 'kid-friendly', 'strategic']"
B00486ZVC4,"['board', 'kid-friendly', 'strategic']"
B0CJWWTQYL,"['cardgame', 'party', 'strategic']"
B08RSRDV2V,"['cardgame', 'party', 'strategic']"
B0B8JKYSC3,"['board', 'cardgame', 'strategic']"
B08RV8819X,"['cardgame', 'kid-friendly', 'strategic']"
B0BKN3XDRJ,"['cardgame', 'party', 'strategic']"
B0D1KCDJ55,"['board', 'cardgame', 'strategic']"
B07WWJMQFW,"['cardgame', 'humor', 'party']"
B09ZWQTTNR,"['cardgame', 'humor', 'party']"
1613172087,"['board', 'cardgame', 'strategic']"
B0D2JG7873,"['cardgame', 'kid-friendly', 'strategic']"
B09XDYXDWR,"['board', 'cardgame', 'strategic']"
B010TQY7A8,"['cardgame', 'kid-friendly', 'strategic']"
B089DTQDLR,"['cardgame', 'kid-friendly', 'strategic']"
B0BP2QXCYR,"['board', 'cardgame', 'strategic']"
B07TS96J7Q,"['cardgame', 'kid-friendly', 'strategic']"
B09C8Z3HRK,"['board', 'cardgame', 'strategic']"
B0BLT6F5VY,"['cardgame', 'kid-friendly', 'strategic']"
B0D4C1S1Q3,"['board', 'cardgame', 'strategic']"
B08FR57DS8,"['cardgame', 'humor', 'party']"
1524867608,"['board', 'cardgame', 'strategic']"
B09N8NZHLR,"['cardgame', 'humor', 'party']"
B0BVBVBMPL,"['board', 'kid-friendly', 'strategic']"
B003D7F4YY,"['board', 'cardgame', 'strategic']"
